smiles,logP,qed,SAS,Canonical_SMILES,Random_SMILES_1,Random_SMILES_2,NonIsomeric_SMILES,Kekule_SMILES,SMILES_with_Hs,Branchless_SMILES,SMILES_2D
"CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1
",5.0506,0.702012233,2.084094572,CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,c1c2occ(c2cc(C(C)(C)C)c1)CC(Nc1c(cccc1)F)=O,c1cc(C(C)(C)C)cc2c(CC(=O)Nc3ccccc3F)coc12,CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,CC(C)(C)C1=CC=C2OC=C(CC(=O)NC3=CC=CC=C3F)C2=C1,[CH3][C]([CH3])([CH3])[c]1[cH][cH][c]2[o][cH][c]([CH2][C](=[O])[NH][c]3[cH][cH][cH][cH][c]3[F])[c]2[cH]1,CCCCc1ccc2occCC=ONc3ccccc3Fc2c1,CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1
"C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1
",3.1137,0.928975488,3.432003819,C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1,C[C@@H]1CC(C[C@H](C1)C)Nc1cncc(-c2n(cnn2)C)c1,[C@@H]1(C[C@H](C)CC(Nc2cncc(c2)-c2n(C)cnn2)C1)C,CC1CC(C)CC(Nc2cncc(-c3nncn3C)c2)C1,C[C@@H]1CC(NC2=CN=CC(C3=NN=CN3C)=C2)C[C@@H](C)C1,[CH3][C@@H]1[CH2][CH]([NH][c]2[cH][n][cH][c](-[c]3[n][n][cH][n]3[CH3])[cH]2)[CH2][C@@H]([CH3])[CH2]1,C[C@@H]1CCNc2cncc-c3nncn3Cc2C[C@@H]CC1,C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1
"N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1
",4.96778,0.599681738,2.470632608,N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1,N#Cc1ccc(cc1)-c1ccc(cc1)O[C@H](c1ccccc1)C(N1CCCC1)=O,c1(C#N)ccc(cc1)-c1ccc(cc1)O[C@@H](C(N1CCCC1)=O)c1ccccc1,N#Cc1ccc(-c2ccc(OC(C(=O)N3CCCC3)c3ccccc3)cc2)cc1,N#CC1=CC=C(C2=CC=C(O[C@@H](C(=O)N3CCCC3)C3=CC=CC=C3)C=C2)C=C1,[N]#[C][c]1[cH][cH][c](-[c]2[cH][cH][c]([O][C@@H]([C](=[O])[N]3[CH2][CH2][CH2][CH2]3)[c]3[cH][cH][cH][cH][cH]3)[cH][cH]2)[cH][cH]1,N#Cc1ccc-c2cccO[C@@H]C=ON3CCCC3c3ccccc3cc2cc1,N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1
"CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1
",4.00022,0.690944353,2.822753311,CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,c1c(C)ccc(c1)-c1nc(C(=O)N2C[C@H](C(=O)OCC)CCC2)c2CCCCCn21,CCOC(=O)[C@@H]1CCCN(C(=O)c2c3CCCCCn3c(-c3ccc(C)cc3)n2)C1,CCOC(=O)C1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,CCOC(=O)[C@@H]1CCCN(C(=O)C2=C3CCCCCN3C(C3=CC=C(C)C=C3)=N2)C1,[CH3][CH2][O][C](=[O])[C@@H]1[CH2][CH2][CH2][N]([C](=[O])[c]2[n][c](-[c]3[cH][cH][c]([CH3])[cH][cH]3)[n]3[c]2[CH2][CH2][CH2][CH2][CH2]3)[CH2]1,CCOC=O[C@@H]1CCCNC=Oc2nc-c3cccCcc3n3c2CCCCC3C1,CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1
"N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2
",3.60956,0.789027155,4.035182138,N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2,C1(N=C([C@H](C#N)C2(C=1C#N)CCCCC2)[O-])SCC(=O)Nc1cccc(c1)Cl,O=C(Nc1cccc(Cl)c1)CSC1N=C([O-])[C@@H](C2(C=1C#N)CCCCC2)C#N,N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])C(C#N)C12CCCCC2,N#CC1=C(SCC(=O)NC2=CC=CC(Cl)=C2)N=C([O-])[C@H](C#N)C12CCCCC2,[N]#[C][C]1=[C]([S][CH2][C](=[O])[NH][c]2[cH][cH][cH][c]([Cl])[cH]2)[N]=[C]([O-])[C@H]([C]#[N])[C]12[CH2][CH2][CH2][CH2][CH2]2,N#CC1=CSCC=ONc2ccccClc2N=C[O-][C@H]C#NC12CCCCC2,N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2
"CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br
",2.6374,0.824368801,5.09143755,CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br,c1(Br)cscc1[C@@H](O)[C@](CC)(C)[NH+](CC)CC,C(C)[C@@](C)([NH+](CC)CC)[C@H](O)c1c(csc1)Br,CC[NH+](CC)C(C)(CC)C(O)c1cscc1Br,CC[NH+](CC)[C@](C)(CC)[C@H](O)C1=CSC=C1Br,[CH3][CH2][NH+]([CH2][CH3])[C@]([CH3])([CH2][CH3])[C@H]([OH])[c]1[cH][s][cH][c]1[Br],CC[NH+]CC[C@]CCC[C@H]Oc1cscc1Br,CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br
"COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O
",0.9978,0.327296943,2.852316399,COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O,O=C(c1ccc(OC)c(O)c1)N(C)[C@H](C/C(=N/O)N)C,N/C(C[C@H](C)N(C)C(c1ccc(OC)c(c1)O)=O)=N\O,COc1ccc(C(=O)N(C)C(C)CC(N)=NO)cc1O,COC1=CC=C(C(=O)N(C)[C@@H](C)C/C(N)=N/O)C=C1O,[CH3][O][c]1[cH][cH][c]([C](=[O])[N]([CH3])[C@@H]([CH3])[CH2]/[C]([NH2])=[N]/[OH])[cH][c]1[OH],COc1cccC=ONC[C@@H]CC/CN=N/Occ1O,COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O
"O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1
",2.3347,0.687612061,2.627857492,O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1,c1(nc[nH]n1)NC(c1cccnc1Nc1cccc(c1)F)=O,c1ccc(C(Nc2n[nH]cn2)=O)c(Nc2cc(ccc2)F)n1,O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1,O=C(NC1=NNC=N1)C1=CC=CN=C1NC1=CC=CC(F)=C1,[O]=[C]([NH][c]1[n][cH][nH][n]1)[c]1[cH][cH][cH][n][c]1[NH][c]1[cH][cH][cH][c]([F])[cH]1,O=CNc1nc[nH]n1c1cccnc1Nc1ccccFc1,O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1
"Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N
",4.2813,0.483078614,3.073935311,Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N,c1(/C=N/c2cc(Br)ccn2)c(c(c2n(c3ccccc3n2)c1O)C#N)C,C(\c1c(c(C#N)c2n(c1O)c1c(cccc1)n2)C)=N/c1cc(ccn1)Br,Cc1c(C=Nc2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N,CC1=C(C#N)C2=NC3=CC=CC=C3N2C(O)=C1/C=N/C1=CC(Br)=CC=N1,[CH3][c]1[c](/[CH]=[N]/[c]2[cH][c]([Br])[cH][cH][n]2)[c]([OH])[n]2[c]([n][c]3[cH][cH][cH][cH][c]32)[c]1[C]#[N],Cc1c/C=N/c2ccBrccn2cOn2cnc3ccccc23c1C#N,Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N
"C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+]
",0.8801,0.835024277,3.94793347,C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+],n1(C)cc(Br)cc1C(=O)N1CC[C@H]([C@@H](C1)C)[NH3+],[C@@H]1([C@H](C)CN(C(c2n(C)cc(Br)c2)=O)CC1)[NH3+],CC1CN(C(=O)c2cc(Br)cn2C)CCC1[NH3+],C[C@@H]1CN(C(=O)C2=CC(Br)=CN2C)CC[C@H]1[NH3+],[CH3][C@@H]1[CH2][N]([C](=[O])[c]2[cH][c]([Br])[cH][n]2[CH3])[CH2][CH2][C@H]1[NH3+],C[C@@H]1CNC=Oc2ccBrcn2CCC[C@H]1[NH3+],C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+]
